sample,fastq_1,fastq_2,patient_number,tissue
ODG_080,inp/ONCODIAG/Novaseq_131222/fastq/ODG_080_S1_R1_001.fastq.gz,inp/ONCODIAG/Novaseq_131222/fastq/ODG_080_S1_R2_001.fastq.gz,1,normal
ODG_081,inp/ONCODIAG/Novaseq_131222/fastq/ODG_081_S2_R1_001.fastq.gz,inp/ONCODIAG/Novaseq_131222/fastq/ODG_081_S2_R2_001.fastq.gz,1,tumoral
ODG_082,inp/ONCODIAG/Novaseq_131222/fastq/ODG_082_S3_R1_001.fastq.gz,inp/ONCODIAG/Novaseq_131222/fastq/ODG_082_S3_R2_001.fastq.gz,2,normal
ODG_083,inp/ONCODIAG/Novaseq_131222/fastq/ODG_083_S4_R1_001.fastq.gz,inp/ONCODIAG/Novaseq_131222/fastq/ODG_083_S4_R2_001.fastq.gz,2,tumoral
ODG_084,inp/ONCODIAG/Novaseq_131222/fastq/ODG_084_S5_R1_001.fastq.gz,inp/ONCODIAG/Novaseq_131222/fastq/ODG_084_S5_R2_001.fastq.gz,3,normal
ODG_085,inp/ONCODIAG/Novaseq_131222/fastq/ODG_085_S6_R1_001.fastq.gz,inp/ONCODIAG/Novaseq_131222/fastq/ODG_085_S6_R2_001.fastq.gz,3,tumoral
ODG_086,inp/ONCODIAG/Novaseq_131222/fastq/ODG_086_S7_R1_001.fastq.gz,inp/ONCODIAG/Novaseq_131222/fastq/ODG_086_S7_R2_001.fastq.gz,4,normal
ODG_087,inp/ONCODIAG/Novaseq_131222/fastq/ODG_087_S8_R1_001.fastq.gz,inp/ONCODIAG/Novaseq_131222/fastq/ODG_087_S8_R2_001.fastq.gz,4,tumoral
ODG_088,inp/ONCODIAG/Novaseq_131222/fastq/ODG_088_S9_R1_001.fastq.gz,inp/ONCODIAG/Novaseq_131222/fastq/ODG_088_S9_R2_001.fastq.gz,5,normal
ODG_089,inp/ONCODIAG/Novaseq_131222/fastq/ODG_089_S10_R1_001.fastq.gz,inp/ONCODIAG/Novaseq_131222/fastq/ODG_089_S10_R2_001.fastq.gz,5,tumoral
ODG_090,inp/ONCODIAG/Novaseq_131222/fastq/ODG_090_S11_R1_001.fastq.gz,inp/ONCODIAG/Novaseq_131222/fastq/ODG_090_S11_R2_001.fastq.gz,6,normal
ODG_091,inp/ONCODIAG/Novaseq_131222/fastq/ODG_091_S12_R1_001.fastq.gz,inp/ONCODIAG/Novaseq_131222/fastq/ODG_091_S12_R2_001.fastq.gz,6,tumoral
ODG_092,inp/ONCODIAG/Novaseq_131222/fastq/ODG_092_S13_R1_001.fastq.gz,inp/ONCODIAG/Novaseq_131222/fastq/ODG_092_S13_R2_001.fastq.gz,7,normal
ODG_093,inp/ONCODIAG/Novaseq_131222/fastq/ODG_093_S14_R1_001.fastq.gz,inp/ONCODIAG/Novaseq_131222/fastq/ODG_093_S14_R2_001.fastq.gz,7,tumoral
ODG_094,inp/ONCODIAG/Novaseq_131222/fastq/ODG_094_S15_R1_001.fastq.gz,inp/ONCODIAG/Novaseq_131222/fastq/ODG_094_S15_R2_001.fastq.gz,8,normal
ODG_095,inp/ONCODIAG/Novaseq_131222/fastq/ODG_095_S16_R1_001.fastq.gz,inp/ONCODIAG/Novaseq_131222/fastq/ODG_095_S16_R2_001.fastq.gz,8,tumoral
ODG_096,inp/ONCODIAG/Novaseq_131222/fastq/ODG_096_S17_R1_001.fastq.gz,inp/ONCODIAG/Novaseq_131222/fastq/ODG_096_S17_R2_001.fastq.gz,9,normal
ODG_097,inp/ONCODIAG/Novaseq_131222/fastq/ODG_097_S18_R1_001.fastq.gz,inp/ONCODIAG/Novaseq_131222/fastq/ODG_097_S18_R2_001.fastq.gz,9,tumoral
ODG_098,inp/ONCODIAG/Novaseq_131222/fastq/ODG_098_S19_R1_001.fastq.gz,inp/ONCODIAG/Novaseq_131222/fastq/ODG_098_S19_R2_001.fastq.gz,10,normal
ODG_099,inp/ONCODIAG/Novaseq_131222/fastq/ODG_099_S20_R1_001.fastq.gz,inp/ONCODIAG/Novaseq_131222/fastq/ODG_099_S20_R2_001.fastq.gz,10,tumoral
ODG_100,inp/ONCODIAG/Novaseq_131222/fastq/ODG_100_S21_R1_001.fastq.gz,inp/ONCODIAG/Novaseq_131222/fastq/ODG_100_S21_R2_001.fastq.gz,11,normal
ODG_101,inp/ONCODIAG/Novaseq_131222/fastq/ODG_101_S22_R1_001.fastq.gz,inp/ONCODIAG/Novaseq_131222/fastq/ODG_101_S22_R2_001.fastq.gz,11,tumoral
ODG_102,inp/ONCODIAG/Novaseq_131222/fastq/ODG_102_S23_R1_001.fastq.gz,inp/ONCODIAG/Novaseq_131222/fastq/ODG_102_S23_R2_001.fastq.gz,12,normal
ODG_103,inp/ONCODIAG/Novaseq_131222/fastq/ODG_103_S24_R1_001.fastq.gz,inp/ONCODIAG/Novaseq_131222/fastq/ODG_103_S24_R2_001.fastq.gz,12,tumoral
ODG_104,inp/ONCODIAG/Novaseq_131222/fastq/ODG_104_S25_R1_001.fastq.gz,inp/ONCODIAG/Novaseq_131222/fastq/ODG_104_S25_R2_001.fastq.gz,13,normal
ODG_105,inp/ONCODIAG/Novaseq_131222/fastq/ODG_105_S26_R1_001.fastq.gz,inp/ONCODIAG/Novaseq_131222/fastq/ODG_105_S26_R2_001.fastq.gz,13,tumoral
ODG_106,inp/ONCODIAG/Novaseq_131222/fastq/ODG_106_S27_R1_001.fastq.gz,inp/ONCODIAG/Novaseq_131222/fastq/ODG_106_S27_R2_001.fastq.gz,14,normal
ODG_107,inp/ONCODIAG/Novaseq_131222/fastq/ODG_107_S28_R1_001.fastq.gz,inp/ONCODIAG/Novaseq_131222/fastq/ODG_107_S28_R2_001.fastq.gz,14,tumoral
ODG_108,inp/ONCODIAG/Novaseq_131222/fastq/ODG_108_S29_R1_001.fastq.gz,inp/ONCODIAG/Novaseq_131222/fastq/ODG_108_S29_R2_001.fastq.gz,15,normal
ODG_109,inp/ONCODIAG/Novaseq_131222/fastq/ODG_109_S30_R1_001.fastq.gz,inp/ONCODIAG/Novaseq_131222/fastq/ODG_109_S30_R2_001.fastq.gz,15,tumoral
